data inicial semana,umidmin,umidmed,umidmax,tempmin,tempmed,tempmax,precipitacao total,casos,month
2017-01-29,86.0,93.8669385714286,100.0,20.0,21.043265,22.7142857142857,53.2,17,Jan
2017-01-22,84.4285714285714,94.6077092857143,100.0,19.5714285714286,20.7271354285714,22.8571428571429,48.39999999999999,26,Jan
2017-01-15,88.8571428571429,96.7709151428571,100.0,19.1428571428571,20.5186395714286,22.1428571428571,291.6,16,Jan
2017-01-08,89.7142857142857,96.4928185714286,100.0,20.4285714285714,21.3278535714286,22.7142857142857,26.0,18,Jan
2017-01-01,77.7142857142857,87.3134442857143,96.7142857142857,20.7142857142857,22.6011041428571,24.7142857142857,49.8,8,Jan
2016-12-25,72.8571428571429,86.1026077142857,96.5714285714286,19.8571428571429,22.4015494285714,25.4285714285714,23.0,21,Dec
2016-12-18,72.4285714285714,90.5214557142857,100.0,18.0,19.9414482857143,23.2857142857143,52.0,13,Dec
2016-12-11,84.8571428571429,91.191611,97.4285714285714,18.5714285714286,19.9438775714286,21.4285714285714,44.8,17,Dec
2016-12-04,80.7142857142857,89.8277071428571,97.4285714285714,17.8571428571429,19.1195057142857,21.0,16.6,14,Dec
2016-11-27,84.2857142857143,92.1480714285714,98.2857142857143,17.8571428571429,19.4146222857143,21.4285714285714,33.8,27,Nov
2016-11-20,78.7142857142857,88.5352428571429,93.1428571428571,16.2857142857143,17.4161001428571,19.5714285714286,3.4,2,Nov
2016-11-13,83.2857142857143,93.5129087142857,99.1428571428571,16.4285714285714,17.4909442857143,19.1428571428571,43.0,13,Nov
2016-11-06,83.8571428571429,93.4992522857143,100.0,16.7142857142857,18.4372222857143,20.5714285714286,47.6,15,Nov
2016-10-30,80.5714285714286,86.5110671428571,90.5714285714286,17.4285714285714,18.0467032857143,18.8571428571429,8.600000000000001,17,Oct
2016-10-23,85.0,90.8959622857143,96.5714285714286,17.4285714285714,18.3383367142857,19.4285714285714,43.6,17,Oct
2016-10-16,87.5714285714286,93.70153,98.2857142857143,19.2857142857143,20.107993,21.4285714285714,40.0,24,Oct
2016-10-09,81.1428571428571,92.7623362857143,98.2857142857143,16.1428571428571,17.6177365714286,20.2857142857143,20.4,12,Oct
2016-10-02,84.0,91.54945,96.5714285714286,14.7142857142857,15.793956,17.0,14.4,18,Oct
2016-09-25,85.4285714285714,91.6181962857143,95.7142857142857,13.1428571428571,14.1301018571429,15.5714285714286,1.2,18,Sep
2016-09-18,83.7142857142857,92.918498,97.4285714285714,14.0,15.2180357142857,17.5714285714286,0.2,13,Sep
2016-09-11,71.1428571428571,79.0233677142857,86.5714285714286,16.4285714285714,18.190306,19.8571428571429,0.2,15,Sep
2016-09-04,86.0,92.2622485714286,97.4285714285714,15.2857142857143,16.7397445714286,18.1428571428571,10.4,9,Sep
2016-08-28,73.8571428571429,86.0049542857143,94.0,14.7142857142857,16.7850625714286,19.5714285714286,13.6,12,Aug
2016-08-21,70.0,87.1054437142857,97.4285714285714,11.7142857142857,14.5178572857143,17.7142857142857,45.0,6,Aug
2016-08-14,84.4285714285714,92.0544894285714,98.2857142857143,13.1428571428571,14.690084,17.0,26.6,5,Aug
2016-08-07,81.7142857142857,89.3074671428571,95.7142857142857,11.8571428571429,13.5936178571429,15.7142857142857,0.4,7,Aug
2016-07-31,79.5714285714286,90.9302042857143,98.2857142857143,13.1428571428571,15.2656122857143,17.7142857142857,0.4,7,Jul
2016-07-24,77.8571428571429,86.255952,93.1428571428571,12.7142857142857,14.2011904285714,16.0,0.2,11,Jul
2016-07-17,85.2857142857143,90.3577542857143,94.7142857142857,10.2857142857143,11.3187754285714,12.4285714285714,0.0,3,Jul
2016-07-10,72.5714285714286,83.411564,93.2857142857143,13.1428571428571,15.89966,18.8571428571429,6.4,10,Jul
2016-07-03,76.2857142857143,88.511904,98.1428571428571,10.7142857142857,13.2678572142857,16.0,0.4,5,Jul
2016-06-26,93.2857142857143,97.6805342857143,100.0,11.7142857142857,13.2399128571429,15.2857142857143,0.6000000000000001,6,Jun
2016-06-19,89.7142857142857,95.6639685714286,99.1428571428571,12.0,13.182002,14.5714285714286,10.400000000000002,3,Jun
2016-06-12,89.2857142857143,96.4432657142857,100.0,6.71428571428571,8.79188201428572,11.2857142857143,33.60000000000001,3,Jun
2016-06-05,88.2857142857143,97.4682541428571,100.0,10.4285714285714,12.1092594285714,14.2857142857143,33.60000000000001,6,Jun
2016-05-29,87.7142857142857,95.2579371428571,99.1428571428571,15.5714285714286,16.628061,18.0,33.60000000000001,4,May
2016-05-22,82.1428571428571,95.0486575714286,99.1428571428571,13.7142857142857,14.7403628571429,16.0,33.60000000000001,1,May
2016-05-15,87.8571428571429,94.7311908571429,99.1428571428571,15.4285714285714,16.740873,18.7142857142857,41.6,5,May
2016-05-08,87.7142857142857,93.8110342857143,98.2857142857143,16.1428571428571,17.131425,18.4285714285714,0.4,1,May
2016-05-01,85.0,94.16969,99.1428571428571,12.2857142857143,13.9977324285714,16.0,0.4,6,May
2016-04-24,81.2857142857143,88.1177557142857,95.0,16.0,17.664796,19.2857142857143,2.0,5,Apr
2016-04-17,62.5714285714286,83.0954971428571,97.4285714285714,17.8571428571429,21.7047102857143,26.4285714285714,0.2,19,Apr
2016-04-10,58.0,81.6624151428571,98.2857142857143,19.4285714285714,23.6011905714286,29.2857142857143,0.2,12,Apr
2016-04-03,88.8571428571429,94.7942177142857,99.1428571428571,18.7142857142857,20.014172,21.7142857142857,0.4,35,Apr
2016-03-27,84.2857142857143,93.4047611428571,99.1428571428571,19.7142857142857,21.020597,23.0,10.2,43,Mar
2016-03-20,90.0,96.3941771428571,99.1428571428571,19.0,19.886193,21.7142857142857,26.8,73,Mar
2016-03-13,84.8571428571429,93.7653057142857,98.2857142857143,18.5714285714286,19.859694,21.7142857142857,13.0,127,Mar
2016-03-06,88.5714285714286,95.6124334285714,100.0,20.1428571428571,21.2403628571429,22.7142857142857,103.8,117,Mar
2016-02-28,91.7142857142857,96.4255807142857,100.0,19.1428571428571,20.11072,21.2857142857143,61.2,138,Feb
2016-02-21,84.2857142857143,93.8148608571429,100.0,20.4285714285714,21.4724277142857,23.1428571428571,62.2,122,Feb
2016-02-14,79.0,94.1256462857143,100.0,20.2857142857143,21.6732765714286,23.7142857142857,38.0,179,Feb
2016-02-07,59.5714285714286,83.4100565714286,98.2857142857143,19.8571428571429,23.4698452857143,29.0,36.6,128,Feb
2016-01-31,44.4285714285714,76.2134271428571,98.2857142857143,19.5714285714286,24.9450725714286,31.1428571428571,16.2,148,Jan
2016-01-24,83.2857142857143,91.6630037142857,98.2857142857143,20.1428571428571,21.6923075714286,23.5714285714286,35.2,103,Jan
2016-01-17,82.4285714285714,89.2281748571429,96.5714285714286,16.7142857142857,18.2261905714286,19.4285714285714,0.4,133,Jan
2016-01-10,90.7142857142857,95.0252785714286,98.2857142857143,20.7142857142857,21.4060761428571,22.2857142857143,82.4,106,Jan
