Week,"PRECIPITA TOTAL, HORARIO (mm)"
2017-07-09,0.6000000000000001
2017-07-16,0.2
2017-07-23,0.6000000000000001
2017-07-30,3.8000000000000003
2017-08-06,0.2
2017-08-13,34.2
2017-08-20,35.8
2017-08-27,0.4
2017-09-03,0.4
2017-09-10,0.0
2017-09-17,0.4
2017-09-24,37.199999999999996
2017-10-01,33.8
2017-10-08,6.2
2017-10-15,1.2000000000000002
2017-10-22,36.199999999999996
2017-10-29,39.0
2017-11-05,30.199999999999996
2017-11-12,31.6
2017-11-19,45.8
2017-11-26,43.4
2017-12-03,20.400000000000002
2017-12-10,21.4
2017-12-17,50.599999999999994
2017-12-24,60.0
2017-12-31,48.6
2018-01-07,43.4
2018-01-14,36.0
2018-01-21,35.8
2018-01-28,36.8
2018-02-04,0.4
2018-02-11,7.6
2018-02-18,14.2
2018-02-25,71.60000000000001
2018-03-04,15.0
2018-03-11,34.2
2018-03-18,17.200000000000003
2018-03-25,25.2
2018-04-01,10.8
2018-04-08,0.0
2018-04-15,12.4
2018-04-22,0.4
2018-04-29,0.6000000000000001
2018-05-06,0.2
2018-05-13,0.2
2018-05-20,0.0
2018-05-27,0.0
2018-06-03,0.0
2018-06-10,0.0
2018-06-17,0.8
2018-06-24,0.0
2018-09-23,6.2
2018-09-30,31.599999999999998
2018-10-07,37.0
2018-10-14,46.199999999999996
2018-10-21,37.6
2018-10-28,15.8
2018-11-04,9.4
2018-11-11,28.8
2018-11-18,67.4
2018-11-25,103.4
2018-12-02,1.2000000000000002
2018-12-09,1.2
2018-12-16,74.0
2018-12-23,30.4
2018-12-30,35.4
2019-01-06,11.2
2019-01-13,10.6
2019-01-20,94.0
2019-01-27,29.4
2019-02-03,62.4
2019-02-10,87.0
2019-02-17,42.2
2019-02-24,146.0
2019-03-03,37.0
2019-03-10,77.0
2019-03-17,60.0
2019-03-24,1.0
2019-03-31,5.6000000000000005
2019-04-07,77.0
2019-04-14,22.2
2019-04-21,38.4
2019-04-28,27.6
2019-05-05,1.2
2019-05-12,21.2
2019-05-19,1.2
2019-05-26,0.0
2019-06-02,0.0
2019-06-09,0.0
2019-06-16,0.0
2019-06-23,0.0
2019-06-30,0.0
2019-07-07,0.0
2019-07-14,0.0
2019-07-21,0.0
2019-07-28,3.6000000000000005
2019-08-04,0.4
2019-08-11,0.0
2019-08-18,1.8000000000000003
2019-08-25,0.0
2019-09-01,77.8
2019-09-08,0.2
2019-09-15,3.0
2019-09-22,0.8
2019-09-29,0.0
2019-10-06,17.400000000000002
2019-10-13,0.2
2019-10-20,2.0
2019-10-27,11.0
2019-11-03,33.8
